"cutoff","sens_pre","spec_pre","sens_1hr","spec_1hr","sens_2hr","spec_2hr","sens_3hr","spec_3hr"
70,0.957,0.11,1,0.082,0.986,0.088,0.943,0.086
80,0.914,0.363,0.971,0.224,0.971,0.255,0.914,0.347
90,0.829,0.657,0.971,0.39,0.943,0.476,0.829,0.675
100,0.657,0.847,0.957,0.573,0.886,0.698,0.7,0.865
110,0.543,0.927,0.929,0.706,0.857,0.841,0.6,0.953
120,0.5,0.967,0.886,0.833,0.714,0.925,0.514,0.982
130,0.443,0.99,0.786,0.906,0.643,0.969,0.486,0.998
140,0.371,0.996,0.686,0.951,0.571,0.994,0.414,1
150,0.3,0.998,0.571,0.978,0.5,0.996,0.329,1
160,0.257,0.998,0.529,0.994,0.471,0.998,0.286,1
170,0.257,0.998,0.471,0.996,0.429,1,0.286,1
180,0.229,0.998,0.4,0.998,0.386,1,0.286,1
190,0.214,1,0.343,1,0.343,1,0.243,1
200,0.171,1,0.286,1,0.271,1,0.2,1
